Vendor,Batch,Assay_Plate_Barcode,Percent_Replicating_No_Sphere,Percent_Matching_No_Sphere,Percent_Replicating_Sphere,Percent_Matching_Sphere,Plate_Map_Name,Modality,Binning,Magnification,Number_of_channels,Images_per_well,z_plane,BF_Zplanes,Anomaly
MolDev,Scope1_MolDev_10X,Plate2_PCO_6ch_4site_10XPA,37.8,13.953,58.9,23.256,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,1,,none
MolDev,Scope1_MolDev_10X,Plate3_PCO_6ch_4site_10XPA_Crest,47.8,16.279,62.2,18.605,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,1,,none
MolDev,Scope1_MolDev_10X_4siteZ,Plate3_PCO_6ch_4site_10XPA_Crestz,52.2,20.930,65.6,23.256,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,3,,none
MolDev,Scope1_MolDev_20X_4site,Plate3_PCO_6ch_4site_20XPA_Crestz,43.3,16.279,57.8,20.930,JUMP-MOA_compound_platemap,Confocal,1,20,6,4,3,,none
MolDev,Scope1_MolDev_20X_9site,Plate2_PCO_6ch_9site_20XPA,56.7,18.605,67.8,25.581,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,1,,none
MolDev,Scope1_MolDev_20X_9site,Plate3_PCO_6ch_9site_20XPA_Crest,50.0,13.953,61.1,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,1,,none
MolDev,Scope1_MolDev_20X_Adaptive,Plate3_PCO_6ch_Adaptive_20XPA,20.0,6.977,54.4,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,6,3,1,,none
Nikon,Scope1_Nikon_10X,BR00117060a10x,28.9,13.953,38.9,16.279,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_10X,BR00117061a10x,39.8,14.634,51.1,14.634,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_10X,BR00117062a10x,30.0,11.628,38.9,13.953,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_10X,BR00117063b10x,33.7,14.286,43.8,14.286,JUMP-MOA_compound_platemap,Widefield,1,10,4,1,1,,none
Nikon,Scope1_Nikon_20X,BR00117061a,60.0,16.279,62.2,23.256,JUMP-MOA_compound_platemap,Widefield,1,20,4,9,1,,none
Nikon,Scope1_Nikon_20X,BR00117062a,43.3,16.279,58.9,20.930,JUMP-MOA_compound_platemap,Widefield,1,20,4,9,1,,none
Nikon,Scope1_Nikon_20X,BR00117063b,46.7,18.605,52.2,20.930,JUMP-MOA_compound_platemap,Widefield,1,20,4,9,1,,none
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P1,51.1,16.279,62.2,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P2,52.2,18.605,56.7,25.581,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P3,50.0,16.279,58.9,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Confocal_1Plane,CP_Broad_Phenix_C_BIN1_1Plane_P4,45.6,16.279,58.9,20.930,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P1,53.3,16.279,60.0,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P2,56.7,18.605,57.8,23.256,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P3,53.3,20.930,58.9,23.256,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Confocal_3Plane,CP_Broad_Phenix_C_BIN1_P4,50.0,16.279,60.0,25.581,JUMP-MOA_compound_platemap,Confocal,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P1,52.2,18.605,61.1,20.930,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P2,54.4,16.279,58.9,20.930,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P3,50.0,16.279,60.0,18.605,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Widefield_1Plane,CP_Broad_Phenix_NC_BIN1_1Plane_P4,46.7,23.256,61.1,25.581,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,1,,none
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P1,53.3,13.953,58.9,18.605,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P2,53.3,16.279,58.9,20.930,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P3,51.1,18.605,60.0,18.605,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,3,,none
PE,Scope1_PE_Bin1_Widefield_3Plane,CP_Broad_Phenix_NC_BIN1_P4,46.7,23.256,58.9,23.256,JUMP-MOA_compound_platemap,Widefield,1,20,5,3,3,,none
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP1,51.1,18.605,58.9,16.279,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP2,51.1,16.279,58.9,23.256,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP3,53.3,18.605,60.0,23.256,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Confocal_1Plane,CPBroadPhenixC1PlaneP4,44.4,18.605,55.6,23.256,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP1,53.3,20.930,58.9,20.930,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP2,55.6,18.605,57.8,18.605,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP3,57.8,18.605,63.3,20.930,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Confocal_3Plane,CPBroadPhenixCP4,55.6,18.605,62.2,23.256,JUMP-MOA_compound_platemap,Confocal,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP1,53.3,16.279,57.8,18.605,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP2,53.3,16.279,58.9,18.605,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP3,47.8,16.279,61.1,23.256,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Widefield_1Plane,CPBroadPhenixNC1PlaneP4,47.8,25.581,56.7,20.930,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,1,,none
PE,Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP1,52.2,16.279,60.0,23.256,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP2,53.3,13.953,58.9,18.605,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP3,50.0,16.279,62.2,20.930,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,3,,none
PE,Scope1_PE_Bin2_Widefield_3Plane,CPBroadPhenixNCP4,46.7,20.930,55.6,23.256,JUMP-MOA_compound_platemap,Widefield,2,20,5,3,3,,none
Yokogawa_Japan,Scope1_Yokogawa_Japan_20X,20201021T092317,53.3,18.605,64.4,25.581,JUMP-MOA_compound_platemap,Confocal,1,20,5,9,10,,none
Yokogawa_Japan,Scope1_Yokogawa_Japan_40X,20201020T134356,37.8,16.279,47.8,18.605,JUMP-MOA_compound_platemap,Confocal,1,40,5,2,12,none,none
Yokogawa_US,Scope1_Yokogawa_US_10X,BRO0117014_10x,47.8,18.605,56.7,23.256,JUMP-MOA_compound_platemap,Confocal,1,10,6,4,12,10,none
Yokogawa_US,Scope1_Yokogawa_US_20X_5Ch,BRO0117033_20xb,57.8,13.953,64.4,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,5,9,1,none,none
Yokogawa_US,Scope1_Yokogawa_US_20X_5Ch,BRO0117056_20x,50.0,18.605,61.1,25.581,JUMP-MOA_compound_platemap,Confocal,1,20,5,9,1,none,none
Yokogawa_US,Scope1_Yokogawa_US_20X_5Ch_12Z,BRO0117056_20xb,55.6,23.256,66.7,23.256,JUMP-MOA_compound_platemap,Confocal,1,20,5,9,12,none,none
Yokogawa_US,Scope1_Yokogawa_US_20X_6Ch_BRO0117033,BRO0117033_20x,14.7,26.087,16.2,21.739,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,12,11,none
Yokogawa_US,Scope1_Yokogawa_US_20X_6Ch_BRO0117059,BRO0117059_20X,54.4,20.930,61.1,23.256,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,12,15,none
Yokogawa_US,Scope1_Yokogawa_US_20X_6Ch_BRO01177034,BRO01177034_20x,51.1,20.930,58.9,18.605,JUMP-MOA_compound_platemap,Confocal,1,20,6,9,12,13,none
Yokogawa_US,Scope1_Yokogawa_US_40X_BRO0117059,BRO0117059_40x,46.7,13.953,54.4,18.605,JUMP-MOA_compound_platemap,Confocal,1,40,6,9,12,15,none
